iter	MAE
0	7.97657932
1	7.892191976
2	7.800586095
3	7.721072379
4	7.651911978
5	7.590249876
6	7.519476355
7	7.472275055
8	7.399679894
9	7.349317012
10	7.302128199
11	7.23402495
12	7.185613194
13	7.138439669
14	7.08414246
15	7.0403433
16	6.986228861
17	6.937300881
18	6.908098139
19	6.867122841
20	6.818858893
21	6.775213703
22	6.752688605
23	6.716849394
24	6.675705562
25	6.638926916
26	6.618692818
27	6.583090044
28	6.556664946
29	6.521921284
30	6.491364413
31	6.462760773
32	6.434813416
33	6.40582234
34	6.383636559
35	6.350878406
36	6.329261851
37	6.315216648
38	6.294872699
39	6.280766053
40	6.256188349
41	6.234943476
42	6.216695255
43	6.201708488
44	6.183871051
45	6.168799352
46	6.153735347
47	6.132401095
48	6.107879339
49	6.084476272
50	6.075510682
51	6.055836309
52	6.037881309
53	6.02451132
54	6.012028699
55	6.001883751
56	5.981060216
57	5.959579724
58	5.945239247
59	5.929490542
60	5.915881942
61	5.895713047
62	5.88565911
63	5.874795907
64	5.858322993
65	5.843983194
66	5.827722977
67	5.814883685
68	5.807986392
69	5.794198568
70	5.783754686
71	5.765315946
72	5.754370927
73	5.741963711
74	5.727637925
75	5.720810421
76	5.709062498
77	5.700829894
78	5.686346432
79	5.677113181
80	5.668037874
81	5.658202331
82	5.643964649
83	5.629630553
84	5.62296897
85	5.61763884
86	5.607867278
87	5.59739095
88	5.585138651
89	5.57803647
90	5.567104876
91	5.559554716
92	5.55374643
93	5.546579979
94	5.538343119
95	5.527878882
96	5.514555976
97	5.504408748
98	5.491829855
99	5.482726297
100	5.475440063
101	5.466558902
102	5.45898328
103	5.451902616
104	5.442036391
105	5.435824112
106	5.426378325
107	5.418359901
108	5.410026475
109	5.403611098
110	5.396174305
111	5.386646254
112	5.378333824
113	5.372067185
114	5.363681487
115	5.358756953
116	5.354124225
117	5.3406857
118	5.334694261
119	5.331138474
120	5.324583949
121	5.318162973
122	5.313740695
123	5.309049239
124	5.303913896
125	5.299783635
126	5.294918244
127	5.287920273
128	5.281766569
129	5.274222135
130	5.269605927
131	5.264008856
132	5.254278273
133	5.250037961
134	5.244012728
135	5.239314366
136	5.234836297
137	5.229007559
138	5.227179432
139	5.221668449
140	5.21511756
141	5.210899776
142	5.205412623
143	5.200792969
144	5.193164556
145	5.188943338
146	5.187219282
147	5.180868695
148	5.176491974
149	5.168530189
150	5.163887326
151	5.155823674
152	5.148708305
153	5.144969676
154	5.138334853
155	5.131754167
