iter	Passed	Remaining
0	7	7667
1	13	6937
2	21	7212
3	28	6976
4	33	6744
5	39	6535
6	44	6381
7	50	6303
8	56	6189
9	61	6050
10	67	6044
11	72	5962
12	77	5889
13	83	5870
14	88	5812
15	93	5764
16	99	5760
17	104	5713
18	109	5670
19	115	5656
20	120	5623
21	125	5596
22	131	5587
23	136	5558
24	141	5531
25	147	5526
26	152	5500
27	157	5479
28	163	5466
29	168	5448
30	174	5456
31	182	5506
32	187	5507
33	193	5491
34	199	5502
35	207	5553
36	218	5683
37	231	5849
38	241	5938
39	250	6005
40	256	5990
41	262	5984
42	267	5956
43	272	5925
44	278	5915
45	285	5921
46	291	5914
47	297	5898
48	302	5868
49	307	5842
50	313	5830
51	318	5807
52	327	5858
53	336	5897
54	342	5892
55	348	5881
56	353	5855
57	359	5843
58	366	5841
59	371	5819
60	378	5822
61	383	5797
62	388	5773
63	394	5765
64	399	5743
65	404	5723
66	410	5715
67	415	5694
68	420	5678
69	426	5672
70	432	5652
71	437	5633
72	442	5620
73	447	5600
74	452	5582
75	458	5572
76	463	5554
77	468	5536
78	477	5564
79	485	5587
80	493	5604
81	501	5613
82	508	5623
83	515	5623
84	525	5652
85	531	5649
86	540	5673
87	546	5665
88	552	5657
89	559	5656
90	565	5647
91	572	5647
92	579	5653
93	586	5650
94	592	5648
95	598	5640
96	605	5640
97	612	5634
98	618	5632
99	625	5630
100	631	5620
101	638	5622
102	644	5614
103	650	5606
104	657	5606
105	663	5597
106	671	5603
107	678	5607
108	686	5615
109	692	5606
110	698	5597
111	706	5598
112	712	5590
113	718	5586
114	724	5579
115	730	5570
116	740	5586
117	746	5580
118	754	5586
119	760	5579
120	768	5579
121	774	5572
122	780	5565
123	787	5560
124	793	5551
125	799	5542
126	804	5529
127	809	5514
128	814	5499
129	820	5491
130	825	5477
131	830	5463
132	836	5452
133	841	5436
134	846	5423
135	854	5425
136	861	5423
137	867	5420
138	876	5426
139	883	5428
140	889	5421
141	896	5416
142	901	5403
143	906	5389
144	912	5380
145	917	5367
146	922	5352
147	927	5341
148	933	5329
149	938	5316
150	943	5303
151	949	5297
152	954	5284
153	959	5271
154	965	5262
155	971	5254
156	976	5243
157	982	5233
158	987	5220
159	992	5208
160	997	5200
161	1002	5187
162	1007	5175
163	1013	5168
164	1018	5156
165	1023	5144
166	1029	5135
167	1034	5123
168	1039	5111
169	1045	5104
170	1050	5092
171	1055	5081
172	1061	5074
173	1066	5063
174	1071	5051
175	1077	5043
176	1082	5032
177	1087	5021
178	1093	5013
179	1098	5003
180	1103	4992
181	1108	4984
182	1114	4973
183	1118	4962
184	1124	4954
185	1129	4943
186	1134	4932
187	1140	4924
188	1145	4914
189	1150	4903
190	1155	4894
191	1162	4890
192	1167	4880
193	1173	4874
194	1178	4863
195	1183	4853
196	1188	4845
197	1193	4835
198	1198	4825
199	1205	4821
200	1210	4812
201	1216	4804
202	1221	4797
203	1226	4787
204	1232	4777
205	1237	4770
206	1242	4761
207	1248	4752
208	1253	4742
209	1258	4733
210	1263	4724
211	1268	4715
212	1274	4709
213	1279	4699
214	1284	4689
215	1290	4683
216	1295	4674
217	1300	4664
218	1306	4660
219	1314	4659
220	1321	4659
221	1332	4668
222	1340	4669
223	1346	4664
224	1354	4664
225	1359	4654
226	1364	4645
227	1370	4638
228	1375	4629
229	1380	4620
230	1385	4612
231	1390	4603
232	1395	4594
233	1401	4586
234	1406	4578
235	1413	4575
236	1420	4572
237	1427	4571
238	1437	4576
239	1442	4567
240	1447	4558
241	1453	4553
242	1458	4544
243	1463	4534
244	1469	4528
245	1475	4521
246	1482	4519
247	1489	4516
248	1495	4511
249	1503	4509
250	1508	4502
251	1514	4495
252	1519	4487
253	1524	4478
254	1530	4470
255	1535	4463
256	1540	4454
257	1545	4446
258	1551	4438
259	1556	4430
260	1562	4423
261	1567	4415
262	1572	4406
263	1577	4398
264	1583	4392
265	1588	4383
266	1593	4374
267	1599	4368
268	1604	4360
269	1609	4351
270	1615	4346
271	1620	4337
272	1625	4329
273	1631	4323
274	1636	4314
275	1641	4305
276	1647	4299
277	1652	4292
278	1657	4284
279	1663	4276
280	1668	4268
281	1673	4260
282	1678	4252
283	1683	4243
284	1688	4235
285	1693	4227
286	1698	4218
287	1703	4210
288	1708	4203
289	1713	4196
290	1718	4187
291	1723	4179
292	1729	4172
293	1734	4164
294	1739	4156
295	1744	4149
296	1749	4141
297	1754	4133
298	1759	4125
299	1764	4117
300	1769	4110
301	1776	4105
302	1782	4101
303	1788	4095
304	1795	4091
305	1801	4085
306	1809	4084
307	1815	4079
308	1821	4074
309	1828	4069
310	1834	4064
311	1841	4060
312	1847	4054
313	1853	4049
314	1861	4048
315	1867	4042
316	1874	4039
317	1880	4033
318	1886	4028
319	1893	4023
320	1899	4017
321	1906	4013
322	1912	4008
323	1918	4002
324	1925	3998
325	1931	3992
326	1937	3986
327	1943	3982
328	1949	3976
329	1955	3970
330	1961	3965
331	1967	3959
332	1974	3954
333	1980	3948
334	1986	3943
335	1992	3938
336	1999	3933
337	2006	3929
338	2012	3923
339	2018	3917
340	2024	3913
341	2030	3907
342	2037	3903
343	2043	3897
344	2049	3891
345	2056	3887
346	2062	3881
347	2068	3876
348	2075	3871
349	2081	3865
350	2088	3861
351	2094	3855
352	2099	3848
353	2105	3842
354	2110	3834
355	2115	3826
356	2121	3820
357	2126	3812
358	2131	3805
359	2136	3798
360	2141	3791
361	2146	3783
362	2152	3777
363	2158	3770
364	2163	3763
365	2168	3756
366	2173	3749
367	2178	3741
368	2184	3735
369	2189	3728
370	2194	3721
371	2200	3714
372	2205	3707
373	2210	3700
374	2216	3693
375	2221	3686
376	2226	3678
377	2231	3671
378	2236	3664
379	2241	3657
380	2246	3650
381	2252	3643
382	2257	3636
383	2262	3629
384	2268	3623
385	2273	3615
386	2278	3608
387	2283	3602
388	2288	3594
389	2293	3587
390	2298	3580
391	2303	3573
392	2309	3566
393	2315	3561
394	2320	3553
395	2325	3546
396	2330	3540
397	2335	3533
398	2340	3525
399	2346	3519
400	2351	3512
401	2356	3505
402	2361	3498
403	2367	3492
404	2372	3485
405	2377	3478
406	2383	3472
407	2388	3465
408	2393	3458
409	2399	3452
410	2404	3445
411	2409	3438
412	2415	3433
413	2420	3426
414	2425	3419
415	2431	3412
416	2436	3406
417	2441	3399
418	2447	3393
419	2452	3387
420	2457	3380
421	2463	3374
422	2468	3367
423	2473	3359
424	2479	3353
425	2484	3347
426	2489	3340
427	2494	3334
428	2499	3327
429	2505	3320
430	2510	3314
431	2516	3308
432	2521	3301
433	2526	3295
434	2532	3288
435	2537	3282
436	2542	3275
437	2548	3269
438	2554	3264
439	2561	3260
440	2569	3257
441	2579	3255
442	2584	3249
443	2589	3243
444	2595	3236
445	2600	3229
446	2605	3223
447	2610	3217
448	2615	3210
449	2621	3203
450	2627	3198
451	2632	3191
452	2637	3184
453	2642	3178
454	2647	3171
455	2652	3164
456	2658	3158
457	2663	3152
458	2668	3145
459	2674	3139
460	2679	3133
461	2684	3126
462	2690	3120
463	2695	3114
464	2700	3107
465	2706	3101
466	2711	3095
467	2716	3088
468	2722	3082
469	2727	3075
470	2732	3068
471	2738	3062
472	2743	3056
473	2748	3049
474	2754	3044
475	2759	3037
476	2764	3030
477	2770	3025
478	2775	3018
479	2780	3011
480	2785	3005
481	2790	2999
482	2796	2992
483	2801	2986
484	2807	2980
485	2811	2973
486	2817	2967
487	2822	2961
488	2827	2954
489	2832	2948
490	2838	2942
491	2843	2935
492	2848	2929
493	2854	2923
494	2859	2916
495	2863	2910
496	2869	2904
497	2874	2897
498	2879	2891
499	2885	2885
500	2890	2878
501	2895	2872
502	2901	2866
503	2906	2860
504	2911	2853
505	2917	2847
506	2922	2841
507	2927	2835
508	2932	2829
509	2937	2822
510	2942	2816
511	2947	2809
512	2953	2803
513	2958	2797
514	2963	2790
515	2969	2784
516	2974	2779
517	2980	2773
518	2985	2767
519	2990	2760
520	2996	2754
521	3001	2748
522	3007	2742
523	3012	2736
524	3017	2730
525	3022	2723
526	3027	2717
527	3033	2711
528	3038	2705
529	3043	2699
530	3049	2693
531	3054	2686
532	3059	2680
533	3065	2674
534	3070	2669
535	3077	2663
536	3083	2658
537	3089	2653
538	3096	2648
539	3102	2643
540	3109	2637
541	3115	2632
542	3122	2627
543	3128	2622
544	3135	2617
545	3141	2612
546	3147	2606
547	3154	2601
548	3160	2596
549	3169	2593
550	3177	2589
551	3183	2584
552	3190	2578
553	3196	2573
554	3203	2568
555	3209	2562
556	3215	2557
557	3221	2552
558	3228	2547
559	3234	2541
560	3243	2538
561	3253	2535
562	3261	2531
563	3267	2526
564	3274	2520
565	3281	2516
566	3287	2510
567	3296	2507
568	3302	2501
569	3310	2497
570	3316	2491
571	3321	2485
572	3329	2481
573	3335	2475
574	3343	2471
575	3349	2465
576	3357	2461
577	3364	2456
578	3370	2450
579	3378	2446
580	3384	2440
581	3391	2435
582	3397	2430
583	3402	2424
584	3408	2418
585	3414	2412
586	3419	2405
587	3425	2400
588	3430	2393
589	3435	2387
590	3442	2382
591	3447	2375
592	3452	2369
593	3458	2364
594	3464	2357
595	3469	2351
596	3475	2346
597	3480	2339
598	3485	2333
599	3492	2328
600	3497	2321
601	3503	2316
602	3509	2310
603	3514	2304
604	3520	2298
605	3525	2292
606	3530	2285
607	3536	2280
608	3541	2274
609	3546	2267
610	3554	2262
611	3560	2257
612	3565	2250
613	3572	2245
614	3577	2239
615	3582	2233
616	3589	2228
617	3594	2221
618	3600	2215
619	3606	2210
620	3611	2204
621	3618	2198
622	3623	2192
623	3628	2186
624	3633	2180
625	3639	2174
626	3644	2168
627	3651	2162
628	3656	2156
629	3662	2151
630	3671	2146
631	3677	2141
632	3683	2135
633	3688	2129
634	3694	2123
635	3701	2118
636	3707	2113
637	3715	2107
638	3723	2103
639	3732	2099
640	3741	2095
641	3748	2090
642	3755	2085
643	3761	2079
644	3769	2074
645	3774	2068
646	3780	2062
647	3786	2057
648	3792	2051
649	3799	2045
650	3805	2040
651	3811	2034
652	3817	2028
653	3824	2023
654	3830	2017
655	3838	2012
656	3846	2008
657	3853	2003
658	3860	1997
659	3867	1992
660	3873	1986
